KEY,(H)TEAM,(H)MATCH UP,(H)GAME DATE,(H)W/L,(H)MIN,(H)PTS,(H)FGM,(H)FGA,(H)FG%,(H)3PM,(H)3PA,(H)3P%,(H)FTM,(H)FTA,(H)FT%,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)TEAM,(A)MATCH UP,(A)GAME DATE,(A)W/L,(A)MIN,(A)PTS,(A)FGM,(A)FGA,(A)FG%,(A)3PM,(A)3PA,(A)3P%,(A)FTM,(A)FTA,(A)FT%,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-
CLE-MIA-01/31/2023,CLE,CLE vs. MIA,01/31/2023,L,12.0,26,11,23,0.478,4,13,0.308,0,0,0.0,0,7,7,10,1.0,3,1,4,2.0,MIA,MIA @ CLE,01/31/2023,W,12.0,24,8,18,0.444,3,11,0.273,5,7,0.714,2,11,13,5,5.0,0,1,2,-2.0
OKC-GSW-01/30/2023,OKC,OKC vs. GSW,01/30/2023,L,12.0,20,8,24,0.333,2,5,0.4,2,2,1.0,1,6,7,4,3.0,2,0,1,-18.0,GSW,GSW @ OKC,01/30/2023,W,12.0,38,15,24,0.625,8,14,0.571,0,0,0.0,1,15,16,14,4.0,0,1,3,18.0
PHI-ORL-01/30/2023,PHI,PHI vs. ORL,01/30/2023,L,12.0,30,11,23,0.478,1,4,0.25,7,8,0.875,1,15,16,9,4.0,1,1,2,13.0,ORL,ORL @ PHI,01/30/2023,W,12.0,17,7,27,0.259,1,8,0.125,2,2,1.0,3,10,13,5,3.0,3,2,5,-13.0
BKN-LAL-01/30/2023,BKN,BKN vs. LAL,01/30/2023,W,12.0,29,10,22,0.455,5,10,0.5,4,4,1.0,2,12,14,7,3.0,2,2,4,13.0,LAL,LAL @ BKN,01/30/2023,L,12.0,16,6,22,0.273,2,6,0.333,2,3,0.667,3,10,13,4,5.0,0,0,4,-13.0
POR-ATL-01/30/2023,POR,POR vs. ATL,01/30/2023,W,12.0,31,12,22,0.545,5,10,0.5,2,2,1.0,1,9,10,8,1.0,0,2,3,8.0,ATL,ATL @ POR,01/30/2023,L,12.0,23,9,21,0.429,3,7,0.429,2,3,0.667,1,8,9,6,3.0,0,0,5,-8.0
MIN-SAC-01/30/2023,MIN,MIN vs. SAC,01/30/2023,L,12.0,17,8,24,0.333,1,6,0.167,0,4,0.0,1,13,14,4,4.0,2,1,2,-7.0,SAC,SAC @ MIN,01/30/2023,W,12.0,24,11,25,0.44,0,7,0.0,2,2,1.0,1,15,16,5,2.0,2,1,2,7.0
SAS-WAS-01/30/2023,SAS,SAS vs. WAS,01/30/2023,L,12.0,36,15,27,0.556,2,9,0.222,4,5,0.8,3,12,15,10,1.0,3,2,7,6.0,WAS,WAS @ SAS,01/30/2023,W,12.0,30,11,26,0.423,4,8,0.5,4,5,0.8,3,10,13,8,4.0,0,1,3,-6.0
PHX-TOR-01/30/2023,PHX,PHX vs. TOR,01/30/2023,W,12.0,31,12,23,0.522,4,8,0.5,3,3,1.0,1,7,8,9,4.0,6,1,6,3.0,TOR,TOR @ PHX,01/30/2023,L,12.0,28,9,19,0.474,3,6,0.5,7,7,1.0,3,8,11,5,6.0,3,1,2,-3.0
DAL-DET-01/30/2023,DAL,DAL vs. DET,01/30/2023,W,12.0,30,10,18,0.556,4,11,0.364,6,8,0.75,0,10,10,2,3.0,1,0,8,3.0,DET,DET @ DAL,01/30/2023,L,12.0,27,8,21,0.381,2,10,0.2,9,13,0.692,2,9,11,4,1.0,2,1,7,-3.0
MIL-NOP-01/29/2023,MIL,MIL vs. NOP,01/29/2023,W,12.0,37,16,25,0.64,4,11,0.364,1,2,0.5,4,14,18,7,3.0,1,1,4,18.0,NOP,NOP @ MIL,01/29/2023,L,12.0,19,7,22,0.318,2,8,0.25,3,4,0.75,1,5,6,4,3.0,3,1,3,-18.0
