KEY,(H)PTS,(H)FGM,(H)FGA,(H)3PM,(H)3PA,(H)FTM,(H)FTA,(H)OREB,(H)DREB,(H)REB,(H)AST,(H)TOV,(H)STL,(H)BLK,(H)PF,(H)+/-,(A)PTS,(A)FGM,(A)FGA,(A)3PM,(A)3PA,(A)FTM,(A)FTA,(A)OREB,(A)DREB,(A)REB,(A)AST,(A)TOV,(A)STL,(A)BLK,(A)PF,(A)+/-,total_score,score_diff,abs_score_diff,total_pts_q123,pace,h_fg_pct,a_fg_pct,h_3p_pct,a_3p_pct,h_ft_pct,a_ft_pct,posted_total,season,under
DET-DAL-04/06/2022,86.0,27.0,64.0,9.0,23.0,23.0,26.0,10.0,20.0,30.0,20.0,7.0,6.0,4.0,18.0,-13.0,99.0,34.0,58.0,10.0,25.0,21.0,29.0,8.0,25.0,33.0,19.0,9.0,5.0,0.0,18.0,13.0,244.0,-13.0,13.0,185.0,122.0,0.421875,0.5862068965517241,0.391304347826087,0.4,0.8846153846153846,0.7241379310344828,218.5,2022,0.0
CHI-MIL-04/05/2022,82.0,33.0,76.0,8.0,26.0,8.0,8.0,11.0,20.0,31.0,16.0,8.0,5.0,1.0,13.0,-14.0,96.0,37.0,67.0,9.0,26.0,13.0,13.0,6.0,31.0,37.0,25.0,8.0,3.0,4.0,11.0,14.0,233.0,-14.0,14.0,178.0,143.0,0.4342105263157895,0.5522388059701493,0.3076923076923077,0.34615384615384615,1.0,1.0,231.0,2022,0.0
BKN-HOU-04/05/2022,90.0,30.0,65.0,13.0,30.0,17.0,18.0,9.0,33.0,42.0,18.0,11.0,4.0,6.0,17.0,16.0,74.0,28.0,74.0,8.0,34.0,10.0,17.0,15.0,22.0,37.0,13.0,8.0,6.0,6.0,15.0,-16.0,223.0,16.0,16.0,164.0,139.0,0.46153846153846156,0.3783783783783784,0.43333333333333335,0.23529411764705882,0.9444444444444444,0.5882352941176471,244.5,2022,1.0
TOR-ATL-04/05/2022,89.0,36.0,80.0,5.0,24.0,12.0,20.0,16.0,29.0,45.0,15.0,5.0,4.0,5.0,11.0,6.0,83.0,35.0,73.0,10.0,28.0,3.0,6.0,8.0,24.0,32.0,26.0,4.0,4.0,3.0,16.0,-6.0,226.0,6.0,6.0,172.0,153.0,0.45,0.4794520547945205,0.20833333333333334,0.35714285714285715,0.6,0.5,226.5,2022,1.0
MIN-WAS-04/05/2022,93.0,34.0,69.0,12.0,28.0,13.0,19.0,6.0,24.0,30.0,23.0,9.0,4.0,2.0,13.0,-8.0,101.0,42.0,72.0,12.0,24.0,5.0,12.0,4.0,29.0,33.0,29.0,8.0,4.0,3.0,19.0,8.0,246.0,-8.0,8.0,194.0,141.0,0.4927536231884058,0.5833333333333334,0.42857142857142855,0.5,0.6842105263157895,0.4166666666666667,239.0,2022,0.0
MIA-CHA-04/05/2022,102.0,38.0,65.0,16.0,29.0,10.0,12.0,5.0,22.0,27.0,22.0,12.0,6.0,1.0,13.0,5.0,97.0,39.0,64.0,12.0,29.0,7.0,10.0,2.0,19.0,21.0,30.0,10.0,7.0,3.0,10.0,-5.0,259.0,5.0,5.0,199.0,129.0,0.5846153846153846,0.609375,0.5517241379310345,0.41379310344827586,0.8333333333333334,0.7,225.0,2022,0.0
PHX-LAL-04/05/2022,98.0,41.0,78.0,10.0,26.0,6.0,8.0,8.0,32.0,40.0,31.0,7.0,9.0,4.0,16.0,18.0,80.0,27.0,63.0,7.0,21.0,19.0,23.0,5.0,28.0,33.0,16.0,13.0,5.0,3.0,11.0,-18.0,231.0,18.0,18.0,178.0,141.0,0.5256410256410257,0.42857142857142855,0.38461538461538464,0.3333333333333333,0.75,0.8260869565217391,234.5,2022,1.0
IND-PHI-04/05/2022,99.0,36.0,76.0,8.0,32.0,19.0,19.0,14.0,25.0,39.0,22.0,9.0,7.0,5.0,12.0,-8.0,107.0,40.0,69.0,21.0,36.0,6.0,10.0,4.0,23.0,27.0,28.0,12.0,4.0,2.0,13.0,8.0,253.0,-8.0,8.0,206.0,145.0,0.47368421052631576,0.5797101449275363,0.25,0.5833333333333334,1.0,0.6,235.0,2022,0.0
DEN-SAS-04/05/2022,79.0,34.0,73.0,7.0,23.0,4.0,7.0,5.0,32.0,37.0,19.0,7.0,3.0,2.0,10.0,-6.0,85.0,34.0,72.0,8.0,21.0,9.0,13.0,5.0,32.0,37.0,24.0,8.0,5.0,3.0,10.0,6.0,213.0,-6.0,6.0,164.0,145.0,0.4657534246575342,0.4722222222222222,0.30434782608695654,0.38095238095238093,0.5714285714285714,0.6923076923076923,234.5,2022,1.0
OKC-POR-04/05/2022,67.0,27.0,59.0,4.0,18.0,9.0,18.0,8.0,22.0,30.0,9.0,13.0,9.0,9.0,10.0,-15.0,82.0,30.0,64.0,9.0,22.0,13.0,16.0,9.0,25.0,34.0,22.0,13.0,8.0,5.0,16.0,15.0,192.0,-15.0,15.0,149.0,123.0,0.4576271186440678,0.46875,0.2222222222222222,0.4090909090909091,0.5,0.8125,220.5,2022,1.0
SAC-NOP-04/05/2022,84.0,31.0,57.0,7.0,20.0,15.0,16.0,3.0,26.0,29.0,22.0,12.0,1.0,2.0,17.0,-11.0,95.0,34.0,66.0,10.0,22.0,17.0,22.0,8.0,20.0,28.0,20.0,7.0,11.0,1.0,14.0,11.0,232.0,-11.0,11.0,179.0,123.0,0.543859649122807,0.5151515151515151,0.35,0.45454545454545453,0.9375,0.7727272727272727,224.5,2022,0.0
ORL-CLE-04/05/2022,91.0,37.0,74.0,13.0,28.0,4.0,5.0,6.0,27.0,33.0,25.0,5.0,6.0,5.0,15.0,5.0,86.0,30.0,62.0,13.0,26.0,13.0,19.0,6.0,29.0,35.0,17.0,9.0,4.0,3.0,4.0,-5.0,235.0,5.0,5.0,177.0,136.0,0.5,0.4838709677419355,0.4642857142857143,0.5,0.8,0.6842105263157895,221.5,2022,0.0
SAC-GSW-04/03/2022,67.0,22.0,61.0,4.0,23.0,19.0,22.0,6.0,23.0,29.0,11.0,10.0,3.0,1.0,11.0,-14.0,81.0,29.0,62.0,13.0,28.0,10.0,13.0,7.0,32.0,39.0,22.0,13.0,6.0,7.0,23.0,14.0,199.0,-14.0,14.0,148.0,123.0,0.36065573770491804,0.46774193548387094,0.17391304347826086,0.4642857142857143,0.8636363636363636,0.7692307692307693,221.0,2022,1.0
BOS-WAS-04/03/2022,104.0,41.0,68.0,14.0,27.0,8.0,12.0,5.0,23.0,28.0,26.0,6.0,5.0,4.0,15.0,25.0,79.0,29.0,63.0,6.0,14.0,15.0,17.0,7.0,20.0,27.0,17.0,9.0,3.0,2.0,13.0,-25.0,246.0,25.0,25.0,183.0,131.0,0.6029411764705882,0.4603174603174603,0.5185185185185185,0.42857142857142855,0.6666666666666666,0.8823529411764706,222.5,2022,0.0
HOU-MIN-04/03/2022,92.0,34.0,65.0,12.0,34.0,12.0,17.0,9.0,15.0,24.0,20.0,18.0,6.0,2.0,18.0,-24.0,116.0,43.0,65.0,15.0,31.0,15.0,19.0,4.0,22.0,26.0,26.0,12.0,11.0,3.0,17.0,24.0,271.0,-24.0,24.0,208.0,130.0,0.5230769230769231,0.6615384615384615,0.35294117647058826,0.4838709677419355,0.7058823529411765,0.7894736842105263,246.5,2022,0.0
ORL-NYK-04/03/2022,62.0,21.0,68.0,8.0,34.0,12.0,18.0,7.0,23.0,30.0,13.0,8.0,5.0,2.0,12.0,-32.0,94.0,35.0,70.0,11.0,30.0,13.0,16.0,11.0,34.0,45.0,22.0,9.0,7.0,7.0,15.0,32.0,206.0,-32.0,32.0,156.0,138.0,0.3088235294117647,0.5,0.23529411764705882,0.36666666666666664,0.6666666666666666,0.8125,216.0,2022,1.0
MIL-DAL-04/03/2022,87.0,34.0,73.0,12.0,31.0,7.0,9.0,7.0,22.0,29.0,21.0,6.0,5.0,1.0,14.0,-3.0,90.0,33.0,61.0,13.0,29.0,11.0,13.0,1.0,24.0,25.0,23.0,8.0,5.0,3.0,14.0,3.0,230.0,-3.0,3.0,177.0,134.0,0.4657534246575342,0.5409836065573771,0.3870967741935484,0.4482758620689655,0.7777777777777778,0.8461538461538461,227.0,2022,0.0
OKC-PHX-04/03/2022,84.0,30.0,63.0,13.0,33.0,11.0,13.0,5.0,30.0,35.0,23.0,13.0,6.0,3.0,13.0,9.0,75.0,29.0,68.0,5.0,28.0,12.0,14.0,5.0,24.0,29.0,18.0,8.0,12.0,4.0,12.0,-9.0,213.0,9.0,9.0,159.0,131.0,0.47619047619047616,0.4264705882352941,0.3939393939393939,0.17857142857142858,0.8461538461538461,0.8571428571428571,221.5,2022,1.0
